layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
4,10,mean_mask_logit,7.107046684495799e-08,2.2892891138326377e-06,4420,61,28,0.4059316565356782,-0.11481597367833006,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_10_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_10_to_mean_mask_logit.png
5,13,mean_mask_logit,5.016583415340392e-08,2.277924522786634e-06,4420,61,28,0.4737838240122293,-0.05632960380833044,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_13_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_13_to_mean_mask_logit.png
5,12,mean_mask_logit,5.085115262204454e-08,2.277882913404028e-06,4420,61,28,0.4658007993541057,-0.10258054238101709,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_12_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_12_to_mean_mask_logit.png
5,9,mean_mask_logit,5.0895437198050786e-08,2.2293988877208903e-06,4420,61,28,0.5245529705622622,0.2837143564584685,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_9_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_9_to_mean_mask_logit.png
5,8,mean_mask_logit,4.672040532227584e-08,2.138054242095677e-06,4420,61,28,0.5160413447432947,0.24587646171246177,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_8_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_8_to_mean_mask_logit.png
4,13,mean_mask_logit,6.926209294988439e-08,2.0815700736420695e-06,4420,61,28,0.42677664326897885,0.044097088394849104,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_13_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_13_to_mean_mask_logit.png
5,14,mean_mask_logit,4.641600881427621e-08,2.068264848276158e-06,4420,61,28,0.4637281929851526,-0.11396437596989564,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_14_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_14_to_mean_mask_logit.png
5,15,mean_mask_logit,4.6713989121371924e-08,2.0450743249966763e-06,4420,61,28,0.4500638736096539,-0.2009267766926391,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_15_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_15_to_mean_mask_logit.png
4,14,mean_mask_logit,6.315048750593633e-08,2.0129534732404863e-06,4420,61,28,0.40042812827484753,-0.14209260388357095,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_14_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_14_to_mean_mask_logit.png
4,15,mean_mask_logit,6.01457799120908e-08,1.8753403310256545e-06,4420,61,28,0.38518189707486666,-0.2046327347101441,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_15_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_15_to_mean_mask_logit.png
5,5,mean_mask_logit,4.6244061024935945e-08,1.8461729496266344e-06,4420,61,28,0.5315090324967456,0.3603928531163374,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_5_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_5_to_mean_mask_logit.png
5,7,mean_mask_logit,4.1818875473609296e-08,1.8443373619447812e-06,4420,61,28,0.506393504124825,0.18133462447932513,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_7_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_7_to_mean_mask_logit.png
5,6,mean_mask_logit,4.514318874271339e-08,1.8271942963110632e-06,4420,61,28,0.516782794321129,0.25977398745269137,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_6_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_6_to_mean_mask_logit.png
5,1,mean_mask_logit,3.379742352649373e-08,1.5901059668976814e-06,1911,26,39,0.4494051540043221,0.016752396735138262,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_1_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_1_to_mean_mask_logit.png
5,2,mean_mask_logit,3.860708375214017e-08,1.4581224831999862e-06,4420,61,28,0.49914246819242203,0.115303518861206,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_2_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_2_to_mean_mask_logit.png
5,3,mean_mask_logit,3.206898568919314e-08,1.2934790447616251e-06,4420,61,28,0.42858911426263596,-0.14381381337983365,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_3_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_3_to_mean_mask_logit.png
4,2,mean_mask_logit,5.438724315354193e-08,1.2521697954070987e-06,2707,37,43,0.3600584475399147,-0.297745646733922,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_2_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_2_to_mean_mask_logit.png
4,1,mean_mask_logit,5.044110551466474e-08,1.2428433819877682e-06,2251,31,19,0.47286240788161676,0.23727083914203131,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_1_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_1_to_mean_mask_logit.png
3,4,mean_mask_logit,4.726317825998194e-08,1.2220644975968753e-06,1981,27,37,0.3162992324952625,-0.3582565756640877,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_4_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_4_to_mean_mask_logit.png
4,4,mean_mask_logit,4.7539327141521426e-08,1.1535361181813641e-06,3119,43,23,0.40462977736447275,-0.01833431087306279,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_4_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_4_to_mean_mask_logit.png
3,3,mean_mask_logit,4.0257283728806215e-08,9.701565204522922e-07,4420,61,28,0.2821695286475952,-0.442355657403288,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_3_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_3_to_mean_mask_logit.png
4,3,mean_mask_logit,3.5537485842951355e-08,9.191691106025246e-07,4420,61,28,0.33945471164117946,-0.20958232354508913,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_3_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_3_to_mean_mask_logit.png
5,4,mean_mask_logit,2.0063419370330848e-08,6.954206241971406e-07,4820,66,68,0.40716602430550464,-0.07182697143473166,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_4_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_4_to_mean_mask_logit.png
3,1,mean_mask_logit,2.019329414792992e-08,6.707133479721961e-07,3355,46,43,0.212670377634181,-0.4199642506879522,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_1_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_1_to_mean_mask_logit.png
