event_id,t_ms,code_name,code_class,diagram_name,source_class,group,layer_index,kind,tensor_idx,tensor_name,shape,dtype,device,requires_grad,mean,std,min,max
58,422.050,transformer.encoder.layers.4.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,4,output,0,[0],1x5184x256,float32,cuda:0,False,0.004819490946829319,0.07263513654470444,-0.9485239386558533,0.46335744857788086
58,422.050,transformer.encoder.layers.4.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,4,output,1,[1],1x8x5184x33,float32,cuda:0,False,0.03030303120613098,0.13919006288051605,0.0,0.9993749260902405
59,422.420,transformer.encoder.layers.4,TransformerEncoderLayer,Multimodal Decoder Layer,fused,multimodal_decoder,4,output,0,tensor,1x5184x256,float32,cuda:0,False,-0.05230901390314102,1.7485966682434082,-17.008176803588867,9.992902755737305
60,422.807,transformer.encoder.layers.5.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,5,input,0,[0],1x5184x256,float32,cuda:0,False,0.44939079880714417,1.3722203969955444,-6.990163803100586,6.306741714477539
60,422.807,transformer.encoder.layers.5.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,5,input,1,[1],1x5184x256,float32,cuda:0,False,0.44939079880714417,1.3722203969955444,-6.990163803100586,6.306741714477539
61,423.176,transformer.encoder.layers.5.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,5,output,0,[0],1x5184x256,float32,cuda:0,False,-0.007931387983262539,0.566477358341217,-2.8489129543304443,2.418734550476074
61,423.176,transformer.encoder.layers.5.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,5,output,1,[1],1x8x5184x5184,float32,cuda:0,False,0.0001929012214532122,0.0009567490196786821,3.8686853547160805e-21,0.29143285751342773
62,435.624,transformer.encoder.layers.5.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,5,output,0,[0],1x5184x256,float32,cuda:0,False,0.0015899821883067489,0.088533416390419,-0.877286434173584,0.6596665382385254
62,435.624,transformer.encoder.layers.5.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,5,output,1,[1],1x8x5184x33,float32,cuda:0,False,0.03030303120613098,0.1345224678516388,0.0,0.9996380805969238
63,435.984,transformer.encoder.layers.5,TransformerEncoderLayer,Multimodal Decoder Layer,fused,multimodal_decoder,5,output,0,tensor,1x5184x256,float32,cuda:0,False,-0.09102950990200043,2.2363574504852295,-21.730634689331055,11.061102867126465
64,436.341,transformer.encoder,TransformerEncoderFusion,Multimodal Decoder,fused,multimodal_decoder,,output,0,memory,5184x1x256,float32,cuda:0,False,-0.09102950990200043,2.2363574504852295,-21.730634689331055,11.061102867126465
64,436.341,transformer.encoder,TransformerEncoderFusion,Multimodal Decoder,fused,multimodal_decoder,,output,1,pos_embed,5184x1x256,float32,cuda:0,False,0.4947257339954376,0.5052193999290466,-1.0,1.0
64,436.341,transformer.encoder,TransformerEncoderFusion,Multimodal Decoder,fused,multimodal_decoder,,output,2,memory_text,33x1x256,float32,cuda:0,False,0.07860387861728668,1.1107478141784668,-6.42909574508667,10.193608283996582
64,436.341,transformer.encoder,TransformerEncoderFusion,Multimodal Decoder,fused,multimodal_decoder,,output,3,level_start_index,1,int64,cuda:0,False,,,,
64,436.341,transformer.encoder,TransformerEncoderFusion,Multimodal Decoder,fused,multimodal_decoder,,output,4,spatial_shapes,1x2,int64,cuda:0,False,,,,
64,436.341,transformer.encoder,TransformerEncoderFusion,Multimodal Decoder,fused,multimodal_decoder,,output,5,valid_ratios,1x1x2,float32,cuda:0,False,1.0,0.0,1.0,1.0
65,452.957,transformer.decoder.layers.0.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,0,input,0,[0],201x1x256,float32,cuda:0,False,-0.1858619600534439,0.44849956035614014,-1.7731319665908813,1.7615110874176025
65,452.957,transformer.decoder.layers.0.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,0,input,1,[1],201x1x256,float32,cuda:0,False,-0.1858619600534439,0.44849956035614014,-1.7731319665908813,1.7615110874176025
65,452.957,transformer.decoder.layers.0.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,0,input,2,[2],201x1x256,float32,cuda:0,False,-0.0004204176948405802,0.1524280607700348,-0.6744294166564941,0.5923493504524231
66,453.818,transformer.decoder.layers.0.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,0,output,0,[0],201x1x256,float32,cuda:0,False,0.0006597910542041063,0.07123763114213943,-0.32161545753479004,0.3001573979854584
66,453.818,transformer.decoder.layers.0.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,0,output,1,[1],1x8x201x201,float32,cuda:0,False,0.004975124262273312,0.002562410430982709,0.0006091230316087604,0.06400220841169357
67,454.182,transformer.decoder.layers.0.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,0,input,0,[0],201x1x256,float32,cuda:0,False,-0.19002825021743774,1.1240005493164062,-5.046471118927002,4.886139869689941
67,454.182,transformer.decoder.layers.0.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,0,input,1,[1],33x1x256,float32,cuda:0,False,0.07860387861728668,1.1107478141784668,-6.42909574508667,10.193608283996582
67,454.182,transformer.decoder.layers.0.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,0,input,2,[2],33x1x256,float32,cuda:0,False,0.07860387861728668,1.1107478141784668,-6.42909574508667,10.193608283996582
68,455.068,transformer.decoder.layers.0.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,0,output,0,[0],201x1x256,float32,cuda:0,False,-0.0006577071617357433,0.14109991490840912,-1.5176302194595337,0.7896157503128052
68,455.068,transformer.decoder.layers.0.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,0,output,1,[1],1x8x201x33,float32,cuda:0,False,0.03030303120613098,0.14362618327140808,0.0,0.9999845027923584
69,455.824,transformer.decoder.layers.0.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,detector_queries,detector_decoder,0,output,0,[0],201x1x256,float32,cuda:0,False,0.004534399602562189,0.9846600890159607,-6.260928630828857,5.820504665374756
69,455.824,transformer.decoder.layers.0.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,detector_queries,detector_decoder,0,output,1,[1],1x8x201x5184,float32,cuda:0,False,0.00019290123600512743,0.0035810547415167093,2.550363205071167e-43,0.9895239472389221
70,466.136,transformer.decoder.layers.0,TransformerDecoderLayer,Detector Decoder Layer,detector_queries,detector_decoder,0,output,0,[0],200x1x256,float32,cuda:0,False,-0.0020328473765403032,1.0231882333755493,-4.826035499572754,4.825829029083252
70,466.136,transformer.decoder.layers.0,TransformerDecoderLayer,Detector Decoder Layer,detector_queries,detector_decoder,0,output,1,[1],1x1x256,float32,cuda:0,False,0.002943962812423706,1.0220062732696533,-2.948918104171753,3.143258810043335
71,466.634,transformer.decoder.bbox_embed,MLP,Box Head,final_outputs,heads,,input,0,[0],200x1x256,float32,cuda:0,False,-0.006091892719268799,1.0485113859176636,-5.293980121612549,5.706774711608887
72,466.854,transformer.decoder.bbox_embed,MLP,Box Head,final_outputs,heads,,output,0,tensor,200x1x4,float32,cuda:0,False,-0.8745896220207214,1.1589857339859009,-3.5752766132354736,2.960249423980713
73,468.028,transformer.decoder.layers.1.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,1,input,0,[0],201x1x256,float32,cuda:0,False,-0.07644690573215485,1.114098310470581,-5.4427642822265625,5.289842128753662
73,468.028,transformer.decoder.layers.1.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,1,input,1,[1],201x1x256,float32,cuda:0,False,-0.07644690573215485,1.114098310470581,-5.4427642822265625,5.289842128753662
73,468.028,transformer.decoder.layers.1.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,1,input,2,[2],201x1x256,float32,cuda:0,False,-0.002008089330047369,1.0231724977493286,-4.826035499572754,4.825829029083252
74,468.583,transformer.decoder.layers.1.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,1,output,0,[0],201x1x256,float32,cuda:0,False,0.008744895458221436,0.49112263321876526,-2.3127710819244385,2.778489351272583
74,468.583,transformer.decoder.layers.1.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,1,output,1,[1],1x8x201x201,float32,cuda:0,False,0.004975124262273312,0.02238493040204048,1.3550586886408098e-22,0.9999979734420776
75,468.904,transformer.decoder.layers.1.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,1,input,0,[0],201x1x256,float32,cuda:0,False,-0.08590120822191238,1.0971657037734985,-7.059648513793945,5.714599132537842
75,468.904,transformer.decoder.layers.1.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,1,input,1,[1],33x1x256,float32,cuda:0,False,0.07860387861728668,1.1107478141784668,-6.42909574508667,10.193608283996582
75,468.904,transformer.decoder.layers.1.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,1,input,2,[2],33x1x256,float32,cuda:0,False,0.07860387861728668,1.1107478141784668,-6.42909574508667,10.193608283996582
76,469.395,transformer.decoder.layers.1.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,1,output,0,[0],201x1x256,float32,cuda:0,False,4.688320404966362e-05,0.24822431802749634,-5.039778709411621,3.2676355838775635
76,469.395,transformer.decoder.layers.1.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,detector_queries,detector_decoder,1,output,1,[1],1x8x201x33,float32,cuda:0,False,0.03030303120613098,0.14561642706394196,0.0,0.9999822378158569
77,469.972,transformer.decoder.layers.1.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,detector_queries,detector_decoder,1,output,0,[0],201x1x256,float32,cuda:0,False,-0.0048639215528965,0.6348103284835815,-4.007609844207764,3.0803542137145996
77,469.972,transformer.decoder.layers.1.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,detector_queries,detector_decoder,1,output,1,[1],1x8x201x5184,float32,cuda:0,False,0.00019290123600512743,0.0020572864450514317,3.1269916170743715e-28,0.5530712008476257
78,480.326,transformer.decoder.layers.1,TransformerDecoderLayer,Detector Decoder Layer,detector_queries,detector_decoder,1,output,0,[0],200x1x256,float32,cuda:0,False,0.0006135916337370872,1.0119222402572632,-5.948177814483643,6.567689418792725
78,480.326,transformer.decoder.layers.1,TransformerDecoderLayer,Detector Decoder Layer,detector_queries,detector_decoder,1,output,1,[1],1x1x256,float32,cuda:0,False,-0.0026359576731920242,1.0342012643814087,-3.5418572425842285,5.594942092895508
79,480.704,transformer.decoder.bbox_embed,MLP,Box Head,final_outputs,heads,,input,0,[0],200x1x256,float32,cuda:0,False,-0.011676921509206295,1.015315055847168,-6.045374393463135,5.971958160400391
80,480.910,transformer.decoder.bbox_embed,MLP,Box Head,final_outputs,heads,,output,0,tensor,200x1x4,float32,cuda:0,False,-0.06997482478618622,0.17489290237426758,-0.7580538988113403,0.4792662262916565
81,481.926,transformer.decoder.layers.2.self_attn,MultiheadAttention,Detector Decoder Self-Attention,detector_queries,detector_decoder,2,input,0,[0],201x1x256,float32,cuda:0,False,-0.06507465243339539,1.1163171529769897,-6.700263500213623,6.675826549530029
